subject,test,repetition,context,g,SD,nTrials
41,2,5,0,0.000172455462507947,19.8830960915021,38
41,2,5,1,0.00299219450526172,20.5433382322797,42
42,1,1,0,0.140214586148642,19.7202968300938,37
42,1,1,1,1.45686584898837e-05,23.6493438093149,41
42,1,5,0,0.00144250582647946,22.8035412981632,38
42,1,5,1,0.0765866596577743,22.2286458253055,41
42,2,1,0,0.138208733730333,36.699840905059,39
42,2,1,1,0.100451019520638,41.453987236567,40
42,2,5,0,0.0806659745680557,17.0419672347127,37
42,2,5,1,0.000587529192781839,25.3642370068112,42
43,1,1,0,0.131684375381939,14.8236280805765,39
43,1,1,1,4.94080070052652e-05,23.6235447311139,41
43,1,5,0,0.00147693931208853,21.6113680521028,38
43,1,5,1,0.00339578393448678,24.0155535415993,41
43,2,1,0,0.0453123783490144,33.9603308892092,39
43,2,1,1,0.0806485569644625,29.3965025425965,41
43,2,5,0,8.67994958753332e-05,28.6462807643673,38
43,2,5,1,0.00100402671824111,24.1841836126247,42
44,1,1,0,0.0481568410524666,16.3156824891047,40
44,1,1,1,0.081255998013962,13.1222317516793,40
44,1,5,0,0.00163743625045578,11.0233214813885,39
44,1,5,1,0.0335108612601668,16.8107379125704,41
44,2,1,0,0.106624140334219,23.0376447469475,40
44,2,1,1,0.00155182934359539,26.6435219606578,40
44,2,5,0,8.67636729046661e-05,15.7125501475402,39
44,2,5,1,0.000237840397351609,14.810928685168,39
45,1,1,0,0.0773524613233288,25.2658276823347,38
45,1,1,1,0.00629795698847796,21.5634091761595,39
45,1,5,0,0.0375365662980696,15.6795959723247,39
45,1,5,1,0.00139267816645427,25.1471393338785,41
45,2,1,0,0.173438398317919,29.6537713773858,39
45,2,1,1,0.00191552819610528,27.7354547684708,39
45,2,5,0,0.0958410186579342,19.8177280410194,39
45,2,5,1,0.0362901199443599,17.822761931936,41
46,1,1,0,0.00361256299451808,31.2124725317001,39
46,1,1,1,0.0620881593730395,22.1370693477573,40
46,1,5,0,0.0538776303909458,23.5478032355278,37
46,1,5,1,0.00154682307817979,26.7978831243609,41
46,2,1,0,0.372737738982016,23.5842908959681,40
46,2,1,1,0.268611711046714,37.9741240128722,40
46,2,5,0,0.0010237146605169,28.8098298349844,38
46,2,5,1,0.114781431583448,28.7048601190793,39
47,1,1,0,0.0438872333448316,23.8263827999632,36
47,1,1,1,0.0749053410152092,19.6964167506689,39
47,1,5,0,0.000210710654602568,23.6556003942331,41
47,1,5,1,0.00429833386840562,22.1851457686325,37
47,2,1,0,0.130421736643245,33.3064227572263,38
47,2,1,1,0.237602906979065,16.1952667683132,42
47,2,5,0,8.20917397929555e-05,16.1520810679785,41
47,2,5,1,0.0759862429799249,14.9134939661644,39
48,1,1,0,0.00121354809759115,18.0934333712188,40
48,1,1,1,0.000324789845528409,22.2394880313181,40
48,1,5,0,0.000339657418162667,15.4202392426549,41
48,1,5,1,0.000462117427283507,16.0245491814191,39
48,2,1,0,0.107919367940935,17.3831992103185,40
48,2,1,1,0.167580839225376,22.8423175192989,40
48,2,5,0,0.0460615431670594,17.3737348594381,40
48,2,5,1,0.0359166100010075,17.8294602242519,39
49,1,1,0,0.0785399894346427,19.8335170391664,39
49,1,1,1,0.000918570464240386,19.6113010929272,41
49,1,5,0,0.000500038456394295,18.8198298002234,40
49,1,5,1,0.00134091451070606,20.588663396587,40
49,2,1,0,0.0742302417918026,21.3875866563669,39
49,2,1,1,0.000120187499570362,25.10866175886,40
49,2,5,0,0.000691157920375374,16.0925412415882,40
49,2,5,1,0.0777020557556605,17.3723806450509,40
50,1,1,0,0.156673234813174,25.1011160369289,34
50,1,1,1,0.00586594510968969,26.6388170465177,35
50,1,5,0,0.206836750078001,18.230882683939,35
50,1,5,1,0.225226279546662,30.4524804021821,34
50,2,1,0,0.000178378844214272,53.1650807021814,32
50,2,1,1,0.145994163848093,40.3219304251556,34
50,2,5,0,0.20079468400198,21.5958023120782,35
50,2,5,1,0.393434544258534,26.917801958178,35
51,1,1,0,0.0421007885254161,19.9794437659821,39
51,1,1,1,0.0741643346430183,18.0755510087618,37
51,1,5,0,0.000367360844857015,22.8797252993394,39
51,1,5,1,0.0497395308448996,23.079563718171,38
51,2,1,0,0.0816748901023265,32.1219139846326,37
51,2,1,1,0.206750088420933,16.29978081491,36
51,2,5,0,0.000299370450547905,15.5394650971998,40
51,2,5,1,0.000986637933459229,18.520004488306,38
52,1,1,0,0.0752584309100136,17.7262103485451,38
52,1,1,1,0.000705724500490394,16.9146707504954,39
52,1,5,0,0.000142080792729222,13.9230545011821,37
52,1,5,1,0.000182891635211392,20.3648328277351,36
52,2,1,0,0.061374430269714,22.0507918989711,39
